county,prop_green,prop_crosswalk,prop_not_single_family_house,prop_single_lane,prop_triple_lane,prop_visible_wires,prop_sidewalk,prop_dilapidated_building
21117,0.919005983,0.012434806,0.154893389,0.766538196,0,0.449282865,0.431536662,0.152266452
21119,0.952083991,0.000789391,0.157325545,0.653931165,0,0.210846227,0.053204926,0.117303442
21121,0.935316076,0.001101524,0.165962915,0.748546601,0,0.340738021,0.082124717,0.166207698
21123,0.91634046,0.001505571,0.140419552,0.718608853,0,0.383067349,0.040600221,0.11577838
21125,0.926603276,0.002810938,0.175562188,0.682710994,0,0.436528318,0.069544697,0.161299278
21127,0.97693682,0.002192626,0.097856099,0.734286178,0,0.270748741,0.06918954,0.121325321
21129,0.980558931,0.000202511,0.147833131,0.617861482,0,0.242203321,0.029769137,0.140340219
21131,0.776233359,0.000195771,0.391640564,0.653582616,0,0.157889585,0.042482381,0.284651527
21133,0.989338306,0.001338688,0.07778734,0.788726334,0,0.244071524,0.080847198,0.090122394
21135,0.965104167,0.00078125,0.076388889,0.792013889,0,0.317013889,0.049392361,0.076996528
21137,0.927365756,0.000791223,0.157136829,0.692952843,0,0.383426522,0.050638253,0.14289482
21139,0.98580685,0.001542734,0.05145017,0.707189139,0,0.278849121,0.022601049,0.085313175
21141,0.883072793,0.002210643,0.176377704,0.771395863,0,0.35386073,0.067977262,0.170101058
21143,0.978686385,0.000869943,0.092431492,0.67137886,0,0.214441061,0.041104828,0.116137451
21145,0.939494774,0.008118467,0.112804878,0.729581882,0,0.459808362,0.154198606,0.124059233
21147,0.98006617,0.00082713,0.064350703,0.763110008,0,0.250041356,0.031927213,0.107526882
21149,0.944220312,0.001754078,0.095684968,0.713997544,0,0.45202596,0.060252587,0.086300649
21151,0.891935144,0.002947989,0.166624553,0.778184881,0,0.415834913,0.17144662,0.182543693
21153,0.985251397,0.000893855,0.103240223,0.663240223,0,0.239441341,0.050614525,0.077094972
21155,0.914308249,0.000927902,0.140020414,0.748167394,0,0.392456157,0.05766911,0.114503108
21157,0.967263817,0.002530527,0.075674807,0.69344473,0,0.313584512,0.039002249,0.073746787
21159,0.985415654,0.004375304,0.19761789,0.579727759,0,0.242100146,0.07486631,0.187894993
21161,0.903268689,0.002267751,0.185486393,0.653190491,0,0.473803566,0.116046293,0.168204567
21163,0.936247112,0.000931515,0.103509949,0.797227811,0,0.483679857,0.033609062,0.121432297
21165,0.968211207,0.000718391,0.275862069,0.724676724,0,0.293821839,0.02496408,0.127873563
21167,0.906038375,0.001854241,0.200298291,0.774467914,0,0.385238633,0.077676556,0.186310867
21169,0.976312202,0.000511247,0.072767553,0.708759373,0,0.256475801,0.040615769,0.076346285
21171,0.957023431,0.000706464,0.082479689,0.74049217,0,0.332980101,0.043859649,0.080124809
21173,0.902817075,0.002521835,0.171669332,0.750768852,0,0.426620741,0.133411244,0.136117604
21175,0.913004264,0.001475894,0.267956707,0.68514267,0,0.25500164,0.043620859,0.187110528
21177,0.924987143,0.003195944,0.145470575,0.730769231,0,0.420652413,0.070604658,0.14998898
21179,0.947853189,0.001907243,0.102270084,0.750174443,0,0.359864167,0.089338047,0.097595013
21181,0.964344487,0.000877674,0.131102578,0.763576522,0,0.32638508,0.050905101,0.119253977
21183,0.976585044,0.001195482,0.05866106,0.763583148,0,0.330159123,0.049674334,0.079849946
