Zip_Code,total_num,total_green,total_crosswalk,total_not_single_family_house,total_single_lane,total_triple_lane,total_visible_wires,total_sidewalk,total_dilapidated_building,prop_green,prop_crosswalk,prop_not_single_family_home,prop_single_lane,prop_triple_lane,prop_visible_wire,prop_sidewalk,prop_dilapidated_building
1039,1028,1012,0,109,824,0,274,73,146,0.984435798,0,0.106031128,0.80155642,0,0.266536965,0.071011673,0.142023346
1040,18177,15322,851,6421,12155,0,8923,9218,6229,0.842933377,0.046817407,0.353248611,0.668702206,0,0.490895087,0.507124388,0.342685812
1050,2288,2286,17,129,1282,0,456,83,192,0.999125874,0.00743007,0.056381119,0.560314685,0,0.199300699,0.036276224,0.083916084
1053,798,796,0,98,625,0,272,71,139,0.997493734,0,0.122807018,0.78320802,0,0.34085213,0.088972431,0.174185464
1054,1504,1487,20,64,845,0,269,25,83,0.988696809,0.013297872,0.042553191,0.561835106,0,0.178856383,0.01662234,0.05518617
1056,13248,12669,170,1379,10916,0,6012,3179,3198,0.95629529,0.012832126,0.104091184,0.82397343,0,0.453804348,0.239960749,0.241394928
1057,8943,8863,56,740,7103,0,1862,631,974,0.991054456,0.006261881,0.082746282,0.794252488,0,0.208207537,0.070557978,0.108911998
1060,3472,3212,103,841,2436,0,1592,1874,800,0.925115207,0.029665899,0.242223502,0.701612903,0,0.458525346,0.539746544,0.230414747
1062,4288,4258,61,276,3550,0,1526,907,688,0.993003731,0.014225746,0.064365672,0.827891791,0,0.355876866,0.211520522,0.160447761
1063,24,23,4,9,9,0,11,11,7,0.958333333,0.166666667,0.375,0.375,0,0.458333333,0.458333333,0.291666667
1066,90,89,0,8,82,0,23,0,12,0.988888889,0,0.088888889,0.911111111,0,0.255555556,0,0.133333333
1068,8,8,0,0,6,0,0,0,0,1,0,0,0.75,0,0,0,0
1069,8324,7976,136,1294,5420,0,2985,1729,2006,0.958193176,0.016338299,0.155454109,0.651129265,0,0.358601634,0.207712638,0.240989909
1070,650,645,1,39,526,0,198,15,26,0.992307692,0.001538462,0.06,0.809230769,0,0.304615385,0.023076923,0.04
1071,1740,1739,15,166,906,0,537,107,272,0.999425287,0.00862069,0.095402299,0.520689655,0,0.30862069,0.061494253,0.156321839
1072,812,808,3,24,517,0,188,22,178,0.995073892,0.003694581,0.02955665,0.636699507,0,0.231527094,0.027093596,0.219211823
1073,4498,4465,26,385,3148,0,1377,354,801,0.992663406,0.005780347,0.085593597,0.699866607,0,0.30613606,0.078701645,0.178079146
1075,5760,5617,85,549,4577,0,2050,1195,1167,0.975173611,0.014756944,0.0953125,0.794618056,0,0.355902778,0.207465278,0.202604167
1077,9536,9437,136,585,5670,0,3860,1039,1396,0.989618289,0.014261745,0.061346477,0.594588926,0,0.404781879,0.108955537,0.146392617
1079,364,320,3,86,293,0,124,131,79,0.879120879,0.008241758,0.236263736,0.804945055,0,0.340659341,0.35989011,0.217032967
1080,940,834,34,197,536,0,585,491,395,0.887234043,0.036170213,0.209574468,0.570212766,0,0.622340426,0.522340426,0.420212766
1081,1268,1265,1,50,879,0,191,23,104,0.997634069,0.000788644,0.039432177,0.693217666,0,0.150630915,0.018138801,0.082018927
1082,2172,2077,25,450,1364,0,800,317,404,0.95626151,0.011510129,0.20718232,0.627992634,0,0.368324125,0.145948435,0.186003683
1084,480,478,0,96,343,0,115,21,38,0.995833333,0,0.2,0.714583333,0,0.239583333,0.04375,0.079166667
1085,27408,26559,395,2371,22011,0,11018,6761,4243,0.969023643,0.014411851,0.086507589,0.80308669,0,0.401999416,0.246679802,0.154808815
1086,12,12,1,5,5,0,5,8,6,1,0.083333333,0.416666667,0.416666667,0,0.416666667,0.666666667,0.5
1088,414,403,4,30,291,0,166,21,50,0.973429952,0.009661836,0.072463768,0.702898551,0,0.400966184,0.050724638,0.120772947
1089,17524,15834,473,3967,12389,0,8488,6878,6240,0.903560831,0.026991554,0.226375257,0.706973294,0,0.4843643,0.392490299,0.356083086
1093,320,320,4,22,229,0,104,14,35,1,0.0125,0.06875,0.715625,0,0.325,0.04375,0.109375
1095,14118,13856,208,1165,10757,0,5138,2038,2072,0.981442131,0.014732965,0.08251877,0.761935118,0,0.363932568,0.144354724,0.146762998
1096,1726,1712,1,324,1084,0,366,59,312,0.99188876,0.000579374,0.187717265,0.628041715,0,0.212050985,0.034183082,0.180764774
1097,228,228,8,45,99,0,111,23,33,1,0.035087719,0.197368421,0.434210526,0,0.486842105,0.100877193,0.144736842
1098,1278,1274,3,220,674,0,415,20,149,0.99687011,0.002347418,0.172143975,0.527386541,0,0.324726135,0.015649452,0.116588419
1103,1060,460,112,999,268,0,689,931,411,0.433962264,0.105660377,0.94245283,0.252830189,0,0.65,0.878301887,0.387735849
1104,9146,7791,298,2130,6950,0,4471,5849,3068,0.851847802,0.03258255,0.232888695,0.759895036,0,0.488847584,0.639514542,0.33544719
1105,2772,1859,133,1823,1616,0,1402,2302,772,0.670634921,0.047979798,0.657647908,0.582972583,0,0.505772006,0.83044733,0.278499278
1106,12082,11995,212,844,10119,0,3648,3610,2657,0.992799205,0.017546764,0.069855984,0.8375269,0,0.301936765,0.298791591,0.219913922
1107,2850,2430,120,1039,2096,0,1123,2249,939,0.852631579,0.042105263,0.364561404,0.735438596,0,0.394035088,0.789122807,0.329473684
1108,7610,6859,336,1821,6058,0,2730,5879,2176,0.90131406,0.044152431,0.239290407,0.796057819,0,0.358738502,0.772536137,0.285939553
1109,10861,9681,498,3314,8319,0,4765,7288,3896,0.891354387,0.045852131,0.305128441,0.76595157,0,0.438725716,0.671024768,0.358714667
1118,7210,6942,156,535,6124,0,2970,2885,1963,0.962829404,0.021636616,0.074202497,0.849375867,0,0.411927878,0.400138696,0.272260749
1119,6423,6139,114,714,5434,0,2793,1586,2352,0.955783902,0.017748716,0.111163008,0.846022108,0,0.434843531,0.246925113,0.366184026
1128,1659,1654,23,87,1425,0,625,258,399,0.996986136,0.013863773,0.05244123,0.858951175,0,0.376732972,0.155515371,0.240506329
1129,4411,4107,127,618,3449,0,2036,1194,1278,0.931081387,0.028791657,0.140104285,0.781908864,0,0.461573339,0.270686919,0.28973022
1151,3856,3405,151,1029,2817,0,2141,2185,1471,0.883039419,0.039159751,0.266856846,0.730549793,0,0.555238589,0.566649378,0.381483402
1201,15674,14978,411,1873,11589,0,7295,5798,2254,0.955595253,0.026221769,0.119497257,0.739377313,0,0.465420441,0.369911956,0.143805027
1220,1353,1182,52,327,706,0,674,505,305,0.873614191,0.038433112,0.241685144,0.5218034,0,0.498152254,0.373244642,0.225424982
1222,646,646,4,48,440,0,140,20,58,1,0.00619195,0.074303406,0.681114551,0,0.216718266,0.030959752,0.089783282
1223,2767,2761,4,432,1392,0,657,42,292,0.997831587,0.001445609,0.156125768,0.503071919,0,0.237441272,0.015178894,0.105529454
1224,106,106,1,1,97,0,29,9,3,1,0.009433962,0.009433962,0.91509434,0,0.273584906,0.08490566,0.028301887
1225,712,696,22,129,391,0,314,72,158,0.97752809,0.030898876,0.181179775,0.549157303,0,0.441011236,0.101123596,0.221910112
1226,3045,3022,34,205,2238,0,1252,859,327,0.992446634,0.011165846,0.067323481,0.734975369,0,0.411165846,0.282101806,0.107389163
1229,76,76,0,4,45,0,26,6,1,1,0,0.052631579,0.592105263,0,0.342105263,0.078947368,0.013157895
1230,6213,6158,40,506,3867,0,1675,477,595,0.991147594,0.006438114,0.081442137,0.622404635,0,0.269596008,0.076774505,0.09576694
1235,2030,2009,8,141,1347,0,671,98,162,0.989655172,0.003940887,0.069458128,0.663546798,0,0.330541872,0.048275862,0.079802956
1236,390,386,2,20,187,0,148,24,37,0.98974359,0.005128205,0.051282051,0.479487179,0,0.379487179,0.061538462,0.094871795
1237,2026,2020,8,79,1439,0,676,149,131,0.9970385,0.003948667,0.03899309,0.710266535,0,0.333662389,0.073543929,0.064659427
1238,2525,2446,31,249,1724,0,988,515,309,0.968712871,0.012277228,0.098613861,0.682772277,0,0.391287129,0.203960396,0.122376238
1240,3027,3002,46,260,1930,0,946,450,385,0.991740998,0.015196564,0.085893624,0.637594979,0,0.312520648,0.148662042,0.127188636
1242,84,81,0,11,46,0,43,33,15,0.964285714,0,0.130952381,0.547619048,0,0.511904762,0.392857143,0.178571429
1243,688,686,0,79,543,0,118,2,14,0.997093023,0,0.114825581,0.789244186,0,0.171511628,0.002906977,0.020348837
1244,164,164,0,5,119,0,49,12,9,1,0,0.030487805,0.725609756,0,0.298780488,0.073170732,0.054878049
1245,961,958,4,40,516,0,152,15,127,0.996878252,0.004162331,0.041623309,0.536940687,0,0.158168574,0.015608741,0.132154006
1247,3469,3169,132,862,2082,0,1872,1217,668,0.913519746,0.038051312,0.248486596,0.600172961,0,0.539636783,0.350821562,0.192562698
